"operation_Name","count_total"
"contracts-cnhi-myiveco-portal-2-0;rev=1 - get-contracts-vehicles",13787
"contracts-cnhi-myiveco-portal-2-0;rev=1 - get-exports-daily-contracts",9905
"managements-cnhi-myiveco-portal-2-0;rev=1 - updateVehicleStatus",1413
"signature-cnhi-myiveco-portal-2-0;rev=1 - updateDigitalSignatureData",4791
"acl-cnhi-myiveco-portal-2-0;rev=1 - get-health-check",2619
"notification-handler-cnhi-myiveco-portal-2-0;rev=1 - getNotifications",31972
"managements-cnhi-myiveco-portal-2-0;rev=1 - getVehicleStatus",37374
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-app-v1-getcountries-lang-lang",6007
"MyIvecoApiTranslator-B2C;rev=1 - get-api-app-v1-getcountries-lang-lang",6012
"MyIvecoApiTranslator-B2C;rev=1 - checkaccountlinking",14583
"acl-cnhi-myiveco-portal-2-0;rev=1 - postUserRegistration",1208
"contracts-cnhi-myiveco-portal-2-0;rev=1 - contractsCompanySiteAdditionalData",4614
"acl-cnhi-myiveco-portal-2-0;rev=1 - getTestDrivesOverview",2627
"acl-cnhi-myiveco-portal-2-0;rev=1 - getVehiclesPositions",1422
"MyIvecoApiTranslator-B2C;rev=1 - post-api-user-v1-registeruserrequest",2084
"MyIvecoApiTranslatorRoot-B2C;rev=1 - post-api-user-v1-registeruserrequest",2086
"acl-cnhi-myiveco-portal-2-0;rev=1 - getAppointmentCreationInfo",3900
"dashmgt-cnhi-myiveco-portal-2-0;rev=1 - getVehiclesFromAdvancedFilters",4940
"acl-cnhi-myiveco-portal-2-0;rev=1 - getPermissionDetailsExport",658
"wdg-cnhi-myiveco-portal-2-0;rev=1 - getVINClusterLight",810
"contracts-cnhi-myiveco-portal-2-0;rev=1 - post-exports",285
"contracts-cnhi-myiveco-portal-2-0;rev=1 - contractsFinalizePut",4839
"contracts-cnhi-myiveco-portal-2-0;rev=1 - get-contracts-id-download",5305
"notification-handler-cnhi-myiveco-portal-2-0;rev=1 - updateNotification",718
"acl-cnhi-myiveco-portal-2-0;rev=1 - getPreRegisteredUser",1836
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-app-v1-getappconfiguration",10358
"MyIvecoApiTranslator-B2C;rev=1 - get-api-app-v1-getappconfiguration",10360
"managements-cnhi-myiveco-portal-2-0;rev=1 - getFleets",2802
"MyIvecoApiTranslator-B2C;rev=1 - get-api-app-v1-getlabels-lang-lang",10246
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-app-v1-getlabels-lang-lang",10249
"report-cnhi-myiveco-portal-2-0;rev=1 - downloadReportDocument",1028
"MyIvecoApiTranslator-B2C;rev=1 - get-api-dashboardall-pinservicelist",6304
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-dashboardall-pinservicelist",6303
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-dashboardall-getdashboards-lang-lang",3902
"MyIvecoApiTranslator-B2C;rev=1 - get-api-dashboardall-getuserdetails",4172
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-dashboardall-getuserdetails",4173
"managements-cnhi-myiveco-portal-2-0;rev=1 - getVehicles",4151
"acl-cnhi-myiveco-portal-2-0;rev=1 - postResetPassword",877
"report-cnhi-myiveco-portal-2-0;rev=1 - getAvailableReportIndex",3032
"MyIvecoApiTranslator-B2C;rev=1 - get-api-dashboardall-getdashboards-lang-lang",3897
"acl-cnhi-myiveco-portal-2-0;rev=1 - getPermissionDetailsList",4400
"recaller-cnhi-myiveco-portal-2-0;rev=1 - get-campaigns",1955
"managements-cnhi-myiveco-portal-2-0;rev=1 - getAvailableVehiclesFleet",496
"recaller-cnhi-myiveco-portal-2-0;rev=1 - get-campaigns-id-vehicles",1677
"MyIvecoApiTranslator-B2C;rev=1 - post-api-user-v1-forgotpswrequest",908
"MyIvecoApiTranslatorRoot-B2C;rev=1 - post-api-user-v1-forgotpswrequest",908
"acl-cnhi-myiveco-portal-2-0;rev=1 - postForgotPassword",545
"managements-cnhi-myiveco-portal-2-0;rev=1 - getDrivers",12140
"managements-cnhi-myiveco-portal-2-0;rev=1 - updateDriver",2565
"contracts-cnhi-myiveco-portal-2-0;rev=1 - get-invoices-table-vat-number-vat-number",517
"contracts-cnhi-myiveco-portal-2-0;rev=1 - getSkaHomeDealerAssociation",2385
"acl-cnhi-myiveco-portal-2-0;rev=1 - getCompaniesTable",4905
"acl-cnhi-myiveco-portal-2-0;rev=1 - savePermissionDetailsList",4162
"acl-cnhi-myiveco-portal-2-0;rev=1 - getFuelTypes",1916
"acl-cnhi-myiveco-portal-2-0;rev=1 - getCompanyById",2696
"contracts-cnhi-myiveco-portal-2-0;rev=1 - put-contracts-id-upload",3389
"acl-cnhi-myiveco-portal-2-0;rev=1 - getVehiclesList",65383
"contracts-cnhi-myiveco-portal-2-0;rev=1 - get-contracts-id-sepa",1452
"dashmgt-cnhi-myiveco-portal-2-0;rev=1 - put-dashboards-id",1795
"MyIvecoApiTranslatorRoot-B2C;rev=1 - getPairedProcess",9410
"MyIvecoApiTranslator-B2C;rev=1 - getPairedProcess",9394
"MyIvecoApiTranslator-B2C;rev=1 - get-api-dashboardall-getdashboardfilters-lang-lang-dashboardid-dashboardid",2676
